algo,size,H_stat,p_value,significant
find,8,18.7279,0.00216,True
find,16,18.2472,0.002652,True
find,32,41.5338,0.0,True
find,64,27.8039,4e-05,True
find,128,35.619,1e-06,True
find,256,29.4052,1.9e-05,True
find,512,29.6616,1.7e-05,True
find,1024,17.6485,0.003421,True
find,2048,24.5279,0.000172,True
find,4096,11.6354,0.04014,True
find,8192,21.0649,0.000787,True
find,16384,45.0682,0.0,True
find,32768,39.6203,0.0,True
find,65536,33.741,3e-06,True
find,131072,36.4577,1e-06,True
find,262144,55.9508,0.0,True
find,524288,56.7456,0.0,True
find,1048576,56.7869,0.0,True
find,2097152,57.1862,0.0,True
find,4194304,54.3475,0.0,True
find,8388608,55.4643,0.0,True
find,16777216,41.4052,0.0,True
find,33554432,50.8892,0.0,True
find,67108864,46.5784,0.0,True
find,134217728,43.0885,0.0,True
find,268435456,52.7193,0.0,True
for_each,8,41.6348,0.0,True
for_each,16,35.4341,1e-06,True
for_each,32,48.6525,0.0,True
for_each,64,54.7587,0.0,True
for_each,128,55.2466,0.0,True
for_each,256,46.4761,0.0,True
for_each,512,50.5148,0.0,True
for_each,1024,39.1902,0.0,True
for_each,2048,40.2675,0.0,True
for_each,4096,38.0898,0.0,True
for_each,8192,42.8485,0.0,True
for_each,16384,44.7298,0.0,True
for_each,32768,54.5836,0.0,True
for_each,65536,54.3443,0.0,True
for_each,131072,54.4872,0.0,True
for_each,262144,57.377,0.0,True
for_each,524288,57.377,0.0,True
for_each,1048576,56.5226,0.0,True
for_each,2097152,55.3902,0.0,True
for_each,4194304,52.4748,0.0,True
for_each,8388608,54.6164,0.0,True
for_each,16777216,53.1279,0.0,True
for_each,33554432,55.6439,0.0,True
for_each,67108864,55.7541,0.0,True
for_each,134217728,40.4105,0.0,True
for_each,268435456,44.4702,0.0,True
inclusive_scan,8,34.0728,2e-06,True
inclusive_scan,16,40.0833,0.0,True
inclusive_scan,32,21.44,0.000669,True
inclusive_scan,64,37.7915,0.0,True
inclusive_scan,128,40.4138,0.0,True
inclusive_scan,256,34.9259,2e-06,True
inclusive_scan,512,48.2767,0.0,True
inclusive_scan,1024,30.1993,1.3e-05,True
inclusive_scan,2048,44.6931,0.0,True
inclusive_scan,4096,41.7462,0.0,True
inclusive_scan,8192,27.6275,4.3e-05,True
inclusive_scan,16384,37.8439,0.0,True
inclusive_scan,32768,35.3305,1e-06,True
inclusive_scan,65536,14.0111,0.015539,True
inclusive_scan,131072,29.6393,1.7e-05,True
inclusive_scan,262144,31.478,8e-06,True
inclusive_scan,524288,56.6846,0.0,True
inclusive_scan,1048576,51.6741,0.0,True
inclusive_scan,2097152,51.0813,0.0,True
inclusive_scan,4194304,50.5856,0.0,True
inclusive_scan,8388608,49.4485,0.0,True
inclusive_scan,16777216,37.503,0.0,True
inclusive_scan,33554432,44.3167,0.0,True
inclusive_scan,67108864,51.6184,0.0,True
inclusive_scan,134217728,31.8098,6e-06,True
inclusive_scan,268435456,27.8774,3.8e-05,True
reduce,8,35.2551,1e-06,True
reduce,16,9.3436,0.096119,False
reduce,32,26.7469,6.4e-05,True
reduce,64,45.059,0.0,True
reduce,128,43.8623,0.0,True
reduce,256,44.1436,0.0,True
reduce,512,34.4393,2e-06,True
reduce,1024,44.5036,0.0,True
reduce,2048,43.8046,0.0,True
reduce,4096,30.7259,1.1e-05,True
reduce,8192,45.9836,0.0,True
reduce,16384,47.2577,0.0,True
reduce,32768,55.3652,0.0,True
reduce,65536,56.181,0.0,True
reduce,131072,53.9174,0.0,True
reduce,262144,54.8407,0.0,True
reduce,524288,57.1862,0.0,True
reduce,1048576,54.3633,0.0,True
reduce,2097152,53.56,0.0,True
reduce,4194304,53.057,0.0,True
reduce,8388608,49.8866,0.0,True
reduce,16777216,48.4308,0.0,True
reduce,33554432,41.4715,0.0,True
reduce,67108864,33.8649,3e-06,True
reduce,134217728,31.0964,9e-06,True
reduce,268435456,33.0859,4e-06,True
sort,8,27.4931,4.6e-05,True
sort,16,38.1489,0.0,True
sort,32,49.5285,0.0,True
sort,64,50.0275,0.0,True
sort,128,51.4052,0.0,True
sort,256,52.2833,0.0,True
sort,512,53.5082,0.0,True
sort,1024,53.2459,0.0,True
sort,2048,56.6846,0.0,True
sort,4096,56.7869,0.0,True
sort,8192,57.3121,0.0,True
sort,16384,50.0243,0.0,True
sort,32768,51.5849,0.0,True
sort,65536,57.377,0.0,True
sort,131072,52.4925,0.0,True
sort,262144,46.5252,0.0,True
sort,524288,35.642,1e-06,True
sort,1048576,38.9285,0.0,True
sort,2097152,46.9069,0.0,True
sort,4194304,44.7869,0.0,True
sort,8388608,47.8505,0.0,True
sort,16777216,54.2984,0.0,True
sort,33554432,38.0282,0.0,True
sort,67108864,24.3449,0.000186,True
sort,134217728,45.9862,0.0,True
sort,268435456,44.5895,0.0,True
