algo,size,H_stat,p_value,significant
find,8,3.4619,0.629155,False
find,16,9.7794,0.081734,False
find,32,7.1161,0.212146,False
find,64,23.431,0.000279,True
find,128,22.2284,0.000474,True
find,256,24.6903,0.00016,True
find,512,23.6271,0.000256,True
find,1024,27.2761,5e-05,True
find,2048,26.4813,7.2e-05,True
find,4096,25.7484,0.0001,True
find,8192,27.4206,4.7e-05,True
find,16384,18.5484,0.002332,True
find,32768,27.369,4.8e-05,True
find,65536,19.08,0.001857,True
find,131072,21.8568,0.000557,True
find,262144,24.6284,0.000164,True
find,524288,25.1445,0.000131,True
find,1048576,11.3794,0.044356,True
find,2097152,13.8413,0.01665,True
find,4194304,26.2748,7.9e-05,True
find,8388608,17.7639,0.003257,True
find,16777216,23.1987,0.000309,True
find,33554432,24.6955,0.00016,True
find,67108864,18.3161,0.002575,True
find,134217728,21.8877,0.00055,True
find,268435456,13.351,0.020303,True
for_each,8,21.5987,0.000624,True
for_each,16,24.1484,0.000203,True
for_each,32,24.4787,0.000176,True
for_each,64,26.12,8.5e-05,True
for_each,128,23.5806,0.000261,True
for_each,256,27.5239,4.5e-05,True
for_each,512,22.631,0.000397,True
for_each,1024,21.4852,0.000656,True
for_each,2048,25.1755,0.000129,True
for_each,4096,25.4077,0.000116,True
for_each,8192,28.2258,3.3e-05,True
for_each,16384,27.8852,3.8e-05,True
for_each,32768,25.5781,0.000108,True
for_each,65536,23.1781,0.000312,True
for_each,131072,20.4839,0.001014,True
for_each,262144,25.2013,0.000127,True
for_each,524288,25.929,9.2e-05,True
for_each,1048576,16.2103,0.006269,True
for_each,2097152,7.4826,0.187152,False
for_each,4194304,20.9277,0.000836,True
for_each,8388608,27.0594,5.6e-05,True
for_each,16777216,20.2361,0.001128,True
for_each,33554432,26.1613,8.3e-05,True
for_each,67108864,23.2916,0.000297,True
for_each,134217728,13.8671,0.016476,True
for_each,268435456,23.7768,0.00024,True
inclusive_scan,8,25.4232,0.000115,True
inclusive_scan,16,23.7768,0.00024,True
inclusive_scan,32,27.1729,5.3e-05,True
inclusive_scan,64,26.4297,7.4e-05,True
inclusive_scan,128,25.0774,0.000135,True
inclusive_scan,256,23.1729,0.000313,True
inclusive_scan,512,21.609,0.000621,True
inclusive_scan,1024,26.8013,6.2e-05,True
inclusive_scan,2048,26.7497,6.4e-05,True
inclusive_scan,4096,26.1974,8.2e-05,True
inclusive_scan,8192,27.7097,4.1e-05,True
inclusive_scan,16384,28.2258,3.3e-05,True
inclusive_scan,32768,26.2439,8e-05,True
inclusive_scan,65536,28.2258,3.3e-05,True
inclusive_scan,131072,25.9445,9.1e-05,True
inclusive_scan,262144,25.6039,0.000106,True
inclusive_scan,524288,18.2335,0.002668,True
inclusive_scan,1048576,18.0581,0.002875,True
inclusive_scan,2097152,12.5045,0.028492,True
inclusive_scan,4194304,6.4245,0.267074,False
inclusive_scan,8388608,10.3213,0.066627,False
inclusive_scan,16777216,9.8929,0.078327,False
inclusive_scan,33554432,7.8387,0.165352,False
inclusive_scan,67108864,2.729,0.741675,False
inclusive_scan,134217728,8.4065,0.135212,False
inclusive_scan,268435456,8.969,0.110306,False
reduce,8,25.5626,0.000108,True
reduce,16,23.6323,0.000255,True
reduce,32,26.3677,7.6e-05,True
reduce,64,25.511,0.000111,True
reduce,128,24.2568,0.000194,True
reduce,256,27.1832,5.3e-05,True
reduce,512,27.2142,5.2e-05,True
reduce,1024,28.2258,3.3e-05,True
reduce,2048,23.9626,0.000221,True
reduce,4096,26.5535,7e-05,True
reduce,8192,27.7613,4.1e-05,True
reduce,16384,27.7923,4e-05,True
reduce,32768,23.591,0.00026,True
reduce,65536,27.2761,5e-05,True
reduce,131072,25.1703,0.000129,True
reduce,262144,19.3174,0.001677,True
reduce,524288,26.12,8.5e-05,True
reduce,1048576,24.2723,0.000192,True
reduce,2097152,21.0,0.00081,True
reduce,4194304,20.3755,0.001062,True
reduce,8388608,24.2774,0.000192,True
reduce,16777216,19.5548,0.001514,True
reduce,33554432,25.3768,0.000118,True
reduce,67108864,17.289,0.003983,True
reduce,134217728,20.5871,0.000969,True
reduce,268435456,21.1032,0.000774,True
sort,8,12.6077,0.027345,True
sort,16,27.1213,5.4e-05,True
sort,32,26.5484,7e-05,True
sort,64,27.9884,3.7e-05,True
sort,128,25.0981,0.000133,True
sort,256,26.1613,8.3e-05,True
sort,512,26.3471,7.6e-05,True
sort,1024,24.5252,0.000172,True
sort,2048,23.2813,0.000298,True
sort,4096,25.2013,0.000127,True
sort,8192,24.9535,0.000142,True
sort,16384,27.1935,5.2e-05,True
sort,32768,21.6658,0.000606,True
sort,65536,25.1239,0.000132,True
sort,131072,25.4284,0.000115,True
sort,262144,26.4606,7.3e-05,True
sort,524288,25.9032,9.3e-05,True
sort,1048576,17.0103,0.00448,True
sort,2097152,24.9535,0.000142,True
sort,4194304,25.8929,9.4e-05,True
sort,8388608,25.0052,0.000139,True
sort,16777216,21.64,0.000613,True
sort,33554432,21.1032,0.000774,True
sort,67108864,21.9239,0.000541,True
sort,134217728,23.3019,0.000296,True
sort,268435456,24.3858,0.000183,True
