algo,wg_a,wg_b,mean_rel_diff_%,max_rel_diff_%
find,wg32,wg64,12.55000981195282,45.34101657930235
find,wg32,wg128,9.340504258160388,46.87994148907789
find,wg32,wg256,5.220572576531349,45.236015786603495
find,wg32,wg512,8.948457218420874,39.31883400681316
find,wg32,wg1024,14.285471088420032,45.83959377698906
find,wg64,wg128,16.156330748213666,54.273098367266236
find,wg64,wg256,16.509497581825954,50.37551035133819
find,wg64,wg512,9.355324971727766,44.13786783646661
find,wg64,wg1024,6.386416861255532,46.4063560380158
find,wg128,wg256,7.320292217363422,42.07770081394617
find,wg128,wg512,8.752545596581712,49.52615484741551
find,wg128,wg1024,14.0796370455689,54.03524908838136
find,wg256,wg512,9.359199936455912,43.92990102606011
find,wg256,wg1024,14.684615381411557,57.20595093597215
find,wg512,wg1024,7.4950465269432005,16.735177447287473
for_each,wg32,wg64,4.73240185842191,30.567704867102385
for_each,wg32,wg128,11.256321343459907,28.905289853991274
for_each,wg32,wg256,6.936350474770355,28.815669360594637
for_each,wg32,wg512,16.160000416627565,35.364722935237445
for_each,wg32,wg1024,5.338421473165511,29.681639257895636
for_each,wg64,wg128,9.394630425748314,25.8908891095682
for_each,wg64,wg256,5.429444748146399,22.718028840733936
for_each,wg64,wg512,14.009671668048119,39.576163291253856
for_each,wg64,wg1024,5.491821484766634,28.90980815914262
for_each,wg128,wg256,7.666292882685555,30.22577359536147
for_each,wg128,wg512,10.8648763507053,36.42611536456646
for_each,wg128,wg1024,11.473996255289766,27.323508676441577
for_each,wg256,wg512,15.735479692354458,34.13514267673332
for_each,wg256,wg1024,9.413404706975104,27.233684982064027
for_each,wg512,wg1024,15.199918129840338,38.71595961097136
inclusive_scan,wg32,wg64,16.46805954574209,39.62240268244957
inclusive_scan,wg32,wg128,8.215599690266693,46.2640820591763
inclusive_scan,wg32,wg256,8.955229023190743,31.489253763392394
inclusive_scan,wg32,wg512,11.35423125648193,47.53404131482203
inclusive_scan,wg32,wg1024,9.452796055386456,46.98163643175167
inclusive_scan,wg64,wg128,18.5910926620806,35.785411449191194
inclusive_scan,wg64,wg256,15.528285606817267,35.52843840323979
inclusive_scan,wg64,wg512,18.16356535967015,40.64072237343757
inclusive_scan,wg64,wg1024,18.95297269820762,34.7193275641319
inclusive_scan,wg128,wg256,10.218757682630205,47.75751249806683
inclusive_scan,wg128,wg512,10.614918051437654,58.765256974971514
inclusive_scan,wg128,wg1024,4.755929338806185,55.057168966281075
inclusive_scan,wg256,wg512,12.700966450981566,52.355878881202166
inclusive_scan,wg256,wg1024,7.961253241532882,48.148983778242545
inclusive_scan,wg512,wg1024,8.306331934533477,40.349432468690935
reduce,wg32,wg64,21.873319074165867,69.70339249733306
reduce,wg32,wg128,5.578921079673952,15.235229265940617
reduce,wg32,wg256,32.141611440476645,82.09129833536923
reduce,wg32,wg512,6.949079002819957,22.604702160410245
reduce,wg32,wg1024,9.852024156161548,69.87818033138556
reduce,wg64,wg128,23.206430987091338,75.84912089000993
reduce,wg64,wg256,24.796654225979335,87.37069202990277
reduce,wg64,wg512,26.496382114786822,75.32014874556369
reduce,wg64,wg1024,27.645239126218584,75.45481252008534
reduce,wg128,wg256,33.307721060566855,84.37065793569711
reduce,wg128,wg512,5.326805924148188,15.97468276462062
reduce,wg128,wg1024,6.400978067187125,60.70640602691776
reduce,wg256,wg512,35.980938929204356,82.48500030516206
reduce,wg256,wg1024,33.62985540616425,84.46403544731258
reduce,wg512,wg1024,4.760319881841556,70.90785431699516
sort,wg32,wg64,8.979650945868723,27.188483309727545
sort,wg32,wg128,6.21729944346395,28.410613242721645
sort,wg32,wg256,9.59237833200184,20.743632879368146
sort,wg32,wg512,5.617068191845083,23.35991276907026
sort,wg32,wg1024,15.86734368177123,40.0763658469054
sort,wg64,wg128,4.461176340419294,13.774563796607186
sort,wg64,wg256,7.538345243708071,18.81818528007006
sort,wg64,wg512,10.1933862154178,26.541970506028438
sort,wg64,wg1024,19.583084389289503,38.32848236491326
sort,wg128,wg256,7.260770891684126,19.228927596744587
sort,wg128,wg512,7.52647947851524,28.48051033298356
sort,wg128,wg1024,20.77181602156802,38.69470460909279
sort,wg256,wg512,9.756381846437892,24.343832293692433
sort,wg256,wg1024,13.930578088823552,34.57419994958631
sort,wg512,wg1024,14.947074268667352,39.39211803012693
